,index,Year,State,D_p,N_p,O_p,R_p,D_s,N_s,O_s,R_s,D_h,O_h,R_h,D_g,O_g,R_g,code
97,839,1852,South_Carolina,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,SC
98,800,1852,Alabama,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,AL
99,801,1852,Alaska,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AK
100,3750,1854,Alabama,,,,,1.0,0.0,0.0,0.0,5.0,2.0,0.0,,,,AL
101,3779,1854,New_Jersey,,,,,0.0,1.0,0.0,0.0,1.0,4.0,0.0,,,,NJ
102,3780,1854,New_Mexico,,,,,0.0,1.0,0.0,0.0,,,,,,,NM
103,3781,1854,New_York,,,,,0.0,0.0,0.0,1.0,5.0,28.0,0.0,0.0,1.0,0.0,NY
104,3782,1854,North_Carolina,,,,,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,NC
105,3783,1854,North_Dakota,,,,,0.0,1.0,0.0,0.0,,,,,,,ND
106,3784,1854,Ohio,,,,,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,OH
107,3785,1854,Oklahoma,,,,,0.0,1.0,0.0,0.0,,,,,,,OK
108,3786,1854,Oregon,,,,,0.0,1.0,0.0,0.0,,,,,,,OR
109,3787,1854,Pennsylvania,,,,,1.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,1.0,0.0,PA
110,3778,1854,New_Hampshire,,,,,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,NH
111,3788,1854,Rhode_Island,,,,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,RI
112,3790,1854,South_Dakota,,,,,0.0,1.0,0.0,0.0,,,,,,,SD
113,3791,1854,Tennessee,,,,,0.0,1.0,0.0,0.0,5.0,5.0,0.0,,,,TN
114,3792,1854,Texas,,,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,TX
115,3793,1854,Utah,,,,,0.0,1.0,0.0,0.0,,,,,,,UT
116,3794,1854,Vermont,,,,,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,VT
117,3795,1854,Virginia,,,,,0.0,1.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,VA
118,3796,1854,Washington,,,,,0.0,1.0,0.0,0.0,,,,,,,WA
119,3797,1854,West_Virginia,,,,,0.0,1.0,0.0,0.0,,,,,,,WV
120,3798,1854,Wisconsin,,,,,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,WI
121,3789,1854,South_Carolina,,,,,1.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,SC
122,3777,1854,Nevada,,,,,0.0,1.0,0.0,0.0,,,,,,,NV
123,3776,1854,Nebraska,,,,,0.0,1.0,0.0,0.0,,,,,,,NE
124,3775,1854,Montana,,,,,0.0,1.0,0.0,0.0,,,,,,,MT
125,3754,1854,California,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,CA
126,3755,1854,Colorado,,,,,0.0,1.0,0.0,0.0,,,,,,,CO
127,3756,1854,Connecticut,,,,,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,CT
128,3757,1854,Delaware,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,DE
129,3758,1854,Florida,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,FL
130,3759,1854,Georgia,,,,,1.0,0.0,0.0,0.0,6.0,2.0,0.0,,,,GA
131,3760,1854,Hawaii,,,,,0.0,1.0,0.0,0.0,,,,,,,HI
132,3761,1854,Idaho,,,,,0.0,1.0,0.0,0.0,,,,,,,ID
133,3762,1854,Illinois,,,,,1.0,0.0,0.0,0.0,6.0,4.0,0.0,,,,IL
134,3763,1854,Indiana,,,,,1.0,0.0,0.0,0.0,2.0,9.0,0.0,,,,IN
135,3764,1854,Iowa,,,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,IA
136,3765,1854,Kansas,,,,,0.0,1.0,0.0,0.0,,,,,,,KS
137,3766,1854,Kentucky,,,,,0.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,KY
138,3767,1854,Louisiana,,,,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,LA
139,3768,1854,Maine,,,,,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,ME
140,3769,1854,Maryland,,,,,0.0,0.0,1.0,0.0,2.0,4.0,0.0,,,,MD
141,3770,1854,Massachusetts,,,,,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,MA
142,3771,1854,Michigan,,,,,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,MI
143,3772,1854,Minnesota,,,,,0.0,1.0,0.0,0.0,,,,,,,MN
144,3773,1854,Mississippi,,,,,0.0,1.0,0.0,0.0,4.0,1.0,0.0,,,,MS
145,3774,1854,Missouri,,,,,1.0,0.0,0.0,0.0,1.0,7.0,0.0,,,,MO
146,3751,1854,Alaska,,,,,0.0,1.0,0.0,0.0,,,,,,,AK
147,3799,1854,Wyoming,,,,,0.0,1.0,0.0,0.0,,,,,,,WY
148,3752,1854,Arizona,,,,,0.0,1.0,0.0,0.0,,,,,,,AZ
149,3753,1854,Arkansas,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,AR
150,877,1856,Nevada,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,NV
151,878,1856,New_Hampshire,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,NH
152,879,1856,New_Jersey,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,NJ
153,880,1856,New_Mexico,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,NM
154,881,1856,New_York,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,21.0,0.0,0.0,1.0,NY
155,882,1856,North_Carolina,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,,,,NC
156,883,1856,North_Dakota,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,ND
157,884,1856,Ohio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,13.0,,,,OH
158,885,1856,Oklahoma,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,OK
159,886,1856,Oregon,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,OR
160,851,1856,Alaska,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AK
161,888,1856,Rhode_Island,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,RI
162,889,1856,South_Carolina,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,,,,SC
163,890,1856,South_Dakota,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,SD
164,891,1856,Tennessee,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,TN
165,892,1856,Texas,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,TX
166,893,1856,Utah,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,UT
167,894,1856,Vermont,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,VT
168,895,1856,Virginia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,,,,VA
169,896,1856,Washington,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,WA
170,897,1856,West_Virginia,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,WV
171,876,1856,Nebraska,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,NE
172,887,1856,Pennsylvania,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,11.0,1.0,0.0,0.0,PA
173,875,1856,Montana,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,MT
174,873,1856,Mississippi,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,MS
175,852,1856,Arizona,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AZ
176,853,1856,Arkansas,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,AR
177,854,1856,California,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,CA
178,855,1856,Colorado,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,CO
179,856,1856,Connecticut,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,CT
180,857,1856,Delaware,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,DE
181,858,1856,Florida,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,FL
182,859,1856,Georgia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,GA
183,860,1856,Hawaii,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,HI
184,861,1856,Idaho,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,ID
185,862,1856,Illinois,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,IL
186,863,1856,Indiana,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,6.0,1.0,0.0,0.0,IN
187,864,1856,Iowa,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,IA
188,865,1856,Kansas,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,KS
189,866,1856,Kentucky,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,,,,KY
190,867,1856,Louisiana,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,,LA
191,868,1856,Maine,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,ME
192,869,1856,Maryland,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,MD
193,870,1856,Massachusetts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,MA
194,871,1856,Michigan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,MI
195,872,1856,Minnesota,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,MN
196,874,1856,Missouri,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,MO
197,850,1856,Alabama,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,AL
198,898,1856,Wisconsin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,WI
199,899,1856,Wyoming,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,WY
200,3800,1858,Alabama,,,,,1.0,0.0,0.0,0.0,7.0,0.0,0.0,,,,AL
201,3822,1858,Minnesota,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,MN
202,3821,1858,Michigan,,,,,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,MI
203,3820,1858,Massachusetts,,,,,0.0,0.0,0.0,1.0,0.0,0.0,11.0,,,,MA
204,3819,1858,Maryland,,,,,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,,,MD
205,3818,1858,Maine,,,,,0.0,0.0,0.0,1.0,0.0,0.0,7.0,,,,ME
206,3817,1858,Louisiana,,,,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,LA
207,3816,1858,Kentucky,,,,,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,KY
208,3815,1858,Kansas,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,KS
209,3814,1858,Iowa,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,IA
210,3813,1858,Indiana,,,,,0.0,1.0,0.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,IN
211,3812,1858,Illinois,,,,,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,IL
212,3811,1858,Idaho,,,,,0.0,1.0,0.0,0.0,,,,,,,ID
213,3810,1858,Hawaii,,,,,0.0,1.0,0.0,0.0,,,,,,,HI
214,3809,1858,Georgia,,,,,1.0,0.0,0.0,0.0,6.0,2.0,0.0,,,,GA
215,3808,1858,Florida,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,FL
216,3807,1858,Delaware,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DE
217,3806,1858,Connecticut,,,,,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,CT
218,3805,1858,Colorado,,,,,0.0,1.0,0.0,0.0,,,,,,,CO
219,3804,1858,California,,,,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,CA
220,3803,1858,Arkansas,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,AR
221,3802,1858,Arizona,,,,,0.0,1.0,0.0,0.0,,,,,,,AZ
222,3823,1858,Mississippi,,,,,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,MS
223,3824,1858,Missouri,,,,,0.0,1.0,0.0,0.0,5.0,2.0,1.0,,,,MO
224,3801,1858,Alaska,,,,,0.0,1.0,0.0,0.0,,,,,,,AK
225,3826,1858,Nebraska,,,,,0.0,1.0,0.0,0.0,,,,,,,NE
226,3825,1858,Montana,,,,,0.0,1.0,0.0,0.0,,,,,,,MT
227,3848,1858,Wisconsin,,,,,0.0,1.0,0.0,0.0,1.0,0.0,2.0,,,,WI
228,3847,1858,West_Virginia,,,,,0.0,1.0,0.0,0.0,,,,,,,WV
229,3846,1858,Washington,,,,,0.0,1.0,0.0,0.0,,,,,,,WA
230,3845,1858,Virginia,,,,,1.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0,0.0,VA
231,3844,1858,Vermont,,,,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,VT
232,3843,1858,Utah,,,,,0.0,1.0,0.0,0.0,,,,,,,UT
233,3842,1858,Texas,,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,TX
234,3841,1858,Tennessee,,,,,1.0,0.0,0.0,0.0,3.0,7.0,0.0,,,,TN
235,3840,1858,South_Dakota,,,,,0.0,1.0,0.0,0.0,,,,,,,SD
236,3839,1858,South_Carolina,,,,,1.0,0.0,0.0,0.0,6.0,0.0,0.0,,,,SC
237,3849,1858,Wyoming,,,,,0.0,1.0,0.0,0.0,,,,,,,WY
238,3837,1858,Pennsylvania,,,,,0.0,1.0,0.0,0.0,4.0,2.0,20.0,,,,PA
239,3836,1858,Oregon,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,OR
240,3835,1858,Oklahoma,,,,,0.0,1.0,0.0,0.0,,,,,,,OK
