Name,State,Term,Party
"TRUMBULL, Jonathan, Jr.",Connecticut,3rd Congress (1793-1795),Pro-Administration
"CADWALADER, Lambert",New Jersey,3rd Congress (1793-1795),Pro-Administration
"BOURNE, Benjamin",Rhode Island,3rd Congress (1793-1795),Pro-Administration
"TRACY, Uriah",Connecticut,3rd Congress (1793-1795),Pro-Administration
"LATIMER, Henry",Delaware,3rd Congress (1793-1795),Pro-Administration
"MALBONE, Francis",Rhode Island,3rd Congress (1793-1795),Pro-Administration
"WADSWORTH, Jeremiah",Connecticut,3rd Congress (1793-1795),Pro-Administration
"GLEN, Henry",New York,3rd Congress (1793-1795),Pro-Administration
"COBB, David",Massachusetts,3rd Congress (1793-1795),Pro-Administration
"GILBERT, Ezekiel",New York,3rd Congress (1793-1795),Pro-Administration
"GOODHUE, Benjamin",Massachusetts,3rd Congress (1793-1795),Pro-Administration
"WATTS, John",New York,3rd Congress (1793-1795),Pro-Administration
"HINDMAN, William",Maryland,3rd Congress (1793-1795),Pro-Administration
"COFFIN, Peleg, Jr.",Massachusetts,3rd Congress (1793-1795),Pro-Administration
"LEARNED, Amasa",Connecticut,3rd Congress (1793-1795),Pro-Administration
"WARD, Artemas",Massachusetts,3rd Congress (1793-1795),Pro-Administration
"SEDGWICK, Theodore",Massachusetts,3rd Congress (1793-1795),Pro-Administration
"THACHER, George",Massachusetts,3rd Congress (1793-1795),Pro-Administration
"AMES, Fisher",Massachusetts,3rd Congress (1793-1795),Pro-Administration
"BOURNE, Shearjashub",Massachusetts,3rd Congress (1793-1795),Pro-Administration
"TALBOT, Silas",New York,3rd Congress (1793-1795),Pro-Administration
"EDWARDS, Benjamin",Maryland,3rd Congress (1793-1795),Pro-Administration
"FORREST, Uriah",Maryland,3rd Congress (1793-1795),Pro-Administration
"DUVALL, Gabriel",Maryland,3rd Congress (1793-1795),Anti-Administration
"JACKSON, George",Virginia,4th Congress (1795-1797),Democrat-Republican
"JACKSON, Andrew",Tennessee,4th Congress (1795-1797),Democrat-Republican
"CABELL, Samuel Jordan",Virginia,4th Congress (1795-1797),Democrat-Republican
"LOCKE, Matthew",North Carolina,4th Congress (1795-1797),Democrat-Republican
"BENTON, Lemuel",South Carolina,4th Congress (1795-1797),Democrat-Republican
"MACLAY, Samuel",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"BARD, David",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"COLES, Isaac",Virginia,4th Congress (1795-1797),Democrat-Republican
"MACON, Nathaniel",North Carolina,4th Congress (1795-1797),Democrat-Republican
"BLOUNT, Thomas",North Carolina,4th Congress (1795-1797),Democrat-Republican
"CLOPTON, John",Virginia,4th Congress (1795-1797),Democrat-Republican
"MOORE, Andrew",Virginia,4th Congress (1795-1797),Democrat-Republican
"VENABLE, Abraham Bedford",Virginia,4th Congress (1795-1797),Democrat-Republican
"HOLLAND, James",North Carolina,4th Congress (1795-1797),Democrat-Republican
"NEW, Anthony",Virginia,4th Congress (1795-1797),Democrat-Republican
"BRENT, Richard",Virginia,4th Congress (1795-1797),Democrat-Republican
"FRANKLIN, Jesse",North Carolina,4th Congress (1795-1797),Democrat-Republican
"WINN, Richard",South Carolina,4th Congress (1795-1797),Democrat-Republican
"GREENUP, Christopher",Kentucky,4th Congress (1795-1797),Democrat-Republican
"STRUDWICK, William Francis",North Carolina,4th Congress (1795-1797),Federalist
"BALDWIN, Abraham",Georgia,4th Congress (1795-1797),Democrat-Republican
"BRYAN, Nathan",North Carolina,4th Congress (1795-1797),Democrat-Republican
"HAVENS, Jonathan Nicoll",New York,4th Congress (1795-1797),Democrat-Republican
"BAILEY, Theodorus",New York,4th Congress (1795-1797),Democrat-Republican
"LYMAN, William",Massachusetts,4th Congress (1795-1797),Democrat-Republican
"PATTEN, John",Delaware,4th Congress (1795-1797),Democrat-Republican
"PRESTON, Francis",Virginia,4th Congress (1795-1797),Democrat-Republican
"GALLATIN, Albert",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"CLAIBORNE, Thomas",Virginia,4th Congress (1795-1797),Democrat-Republican
"GILLESPIE, James",North Carolina,4th Congress (1795-1797),Democrat-Republican
"RUTHERFORD, Robert",Virginia,4th Congress (1795-1797),Democrat-Republican
"TATOM, Absalom",North Carolina,4th Congress (1795-1797),Democrat-Republican
"HAMPTON, Wade",South Carolina,4th Congress (1795-1797),Democrat-Republican
"NICHOLAS, John",Virginia,4th Congress (1795-1797),Democrat-Republican
"VARNUM, Joseph Bradley",Massachusetts,4th Congress (1795-1797),Democrat-Republican
"BURGES, Dempsey",North Carolina,4th Congress (1795-1797),Democrat-Republican
"MADISON, James, Jr.",Virginia,4th Congress (1795-1797),Democrat-Republican
"HARRISON, Carter Bassett",Virginia,4th Congress (1795-1797),Democrat-Republican
"SKINNER, Thomson Joseph",Massachusetts,4th Congress (1795-1797),Democrat-Republican
"PAGE, John",Virginia,4th Congress (1795-1797),Democrat-Republican
"CHRISTIE, Gabriel",Maryland,4th Congress (1795-1797),Democrat-Republican
"FINDLEY, William",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"GREGG, Andrew",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"ORR, Alexander Dalrymple",Kentucky,4th Congress (1795-1797),Democrat-Republican
"SPRIGG, Richard, Jr.",Maryland,4th Congress (1795-1797),Democrat-Republican
"MILLEDGE, John",Georgia,4th Congress (1795-1797),Democrat-Republican
"LIVINGSTON, Edward",New York,4th Congress (1795-1797),Democrat-Republican
"HANCOCK, George",Virginia,4th Congress (1795-1797),Federalist
"HEATH, John",Virginia,4th Congress (1795-1797),Democrat-Republican
"EARLE, Samuel",South Carolina,4th Congress (1795-1797),Democrat-Republican
"SMITH, Israel",Vermont,4th Congress (1795-1797),Democrat-Republican
"GILES, William Branch",Virginia,4th Congress (1795-1797),Democrat-Republican
"SWANWICK, John",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"RICHARDS, John",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"SMITH, Samuel",Maryland,4th Congress (1795-1797),Democrat-Republican
"VAN CORTLANDT, Philip",New York,4th Congress (1795-1797),Democrat-Republican
"KITCHELL, Aaron",New Jersey,4th Congress (1795-1797),Federalist
"HIESTER, Daniel",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"SPRIGG, Thomas",Maryland,4th Congress (1795-1797),Democrat-Republican
"HATHORN, John",New York,4th Congress (1795-1797),Democrat-Republican
"DEARBORN, Henry",Massachusetts,4th Congress (1795-1797),Democrat-Republican
"CRABB, Jeremiah",Maryland,4th Congress (1795-1797),Federalist
"PARKER, Josiah",Virginia,4th Congress (1795-1797),Federalist
"SHERBURNE, John Samuel",New Hampshire,4th Congress (1795-1797),Democrat-Republican
"FREEMAN, Nathaniel, Jr.",Massachusetts,4th Congress (1795-1797),Federalist
"MUHLENBERG, Frederick Augustus Conrad",Pennsylvania,4th Congress (1795-1797),Democrat-Republican
"DENT, George",Maryland,4th Congress (1795-1797),Federalist
"GROVE, William Barry",North Carolina,4th Congress (1795-1797),Federalist
"GILMAN, Nicholas",New Hampshire,4th Congress (1795-1797),Federalist
"SMITH, Isaac",New Jersey,4th Congress (1795-1797),Federalist
"HENDERSON, Thomas",New Jersey,4th Congress (1795-1797),Federalist
"MURRAY, William Vans",Maryland,4th Congress (1795-1797),Federalist
"BUCK, Daniel",Vermont,4th Congress (1795-1797),Federalist
"SMITH, Jeremiah",New Hampshire,4th Congress (1795-1797),Federalist
"HARTLEY, Thomas",Pennsylvania,4th Congress (1795-1797),Federalist
"WILLIAMS, John",New York,4th Congress (1795-1797),Federalist
"EGE, George",Pennsylvania,4th Congress (1795-1797),Federalist
"HARPER, Robert Goodloe",South Carolina,4th Congress (1795-1797),Federalist
"SMITH, William Loughton",South Carolina,4th Congress (1795-1797),Federalist
"DAYTON, Jonathan",New Jersey,4th Congress (1795-1797),Federalist
"SWIFT, Zephaniah",Connecticut,4th Congress (1795-1797),Federalist
"COIT, Joshua",Connecticut,4th Congress (1795-1797),Federalist
"REED, John",Massachusetts,4th Congress (1795-1797),Federalist
"POTTER, Elisha Reynolds",Rhode Island,4th Congress (1795-1797),Federalist
"THOMSON, Mark",New Jersey,4th Congress (1795-1797),Federalist
"THOMAS, Richard",Pennsylvania,4th Congress (1795-1797),Federalist
"KITTERA, John Wilkes",Pennsylvania,4th Congress (1795-1797),Federalist
"LYMAN, Samuel",Massachusetts,4th Congress (1795-1797),Federalist
"CRAIK, William",Maryland,4th Congress (1795-1797),Federalist
"WADSWORTH, Peleg",Massachusetts,4th Congress (1795-1797),Federalist
"SMITH, Nathaniel",Connecticut,4th Congress (1795-1797),Federalist
"VAN ALEN, John Evert",New York,4th Congress (1795-1797),Federalist
"SEWALL, Samuel",Massachusetts,4th Congress (1795-1797),Federalist
"HILLHOUSE, James",Connecticut,4th Congress (1795-1797),Federalist
"FOSTER, Dwight",Massachusetts,4th Congress (1795-1797),Federalist
"BRADBURY, Theophilus",Massachusetts,4th Congress (1795-1797),Federalist
"BOURNE, Benjamin",Rhode Island,4th Congress (1795-1797),Federalist
"TRACY, Uriah",Connecticut,4th Congress (1795-1797),Federalist
"MALBONE, Francis",Rhode Island,4th Congress (1795-1797),Federalist
"GLEN, Henry",New York,4th Congress (1795-1797),Federalist
"FOSTER, Abiel",New Hampshire,4th Congress (1795-1797),Federalist
"GOODRICH, Chauncey",Connecticut,4th Congress (1795-1797),Federalist
"COOPER, William",New York,4th Congress (1795-1797),Federalist
"GILBERT, Ezekiel",New York,4th Congress (1795-1797),Federalist
