Name,State,Term,Party
"DENNIS, David Worth",Indiana,91st Congress (1969-1971),Republican
"ROUSSELOT, John Harbin",California,91st Congress (1969-1971),Republican
"ASHBROOK, John Milan",Ohio,91st Congress (1969-1971),Republican
"COLLINS, James Mitchell",Texas,91st Congress (1969-1971),Republican
"CRANE, Philip Miller",Illinois,91st Congress (1969-1971),Republican
"LANDGREBE, Earl Fredrick",Indiana,91st Congress (1969-1971),Republican
"HALL, Durward Gorham",Missouri,91st Congress (1969-1971),Republican
"SCHMITZ, John George",California,91st Congress (1969-1971),Republican
"GROSS, Harold Royce",Iowa,91st Congress (1969-1971),Republican
"ABOUREZK, James George",South Dakota,92nd Congress (1971-1973),Democrat
"CONYERS, John, Jr.",Michigan,92nd Congress (1971-1973),Democrat
"DELLUMS, Ronald V.",California,92nd Congress (1971-1973),Democrat
"BURTON, Phillip",California,92nd Congress (1971-1973),Democrat
"COLLINS, George Washington",Illinois,92nd Congress (1971-1973),Democrat
"RYAN, William Fitts",New York,92nd Congress (1971-1973),Democrat
"ROYBAL, Edward R.",California,92nd Congress (1971-1973),Democrat
"CHISHOLM, Shirley Anita",New York,92nd Congress (1971-1973),Democrat
"EDWARDS, William Donlon (Don)",California,92nd Congress (1971-1973),Democrat
"BADILLO, Herman",New York,92nd Congress (1971-1973),Democrat
"ABZUG, Bella Savitzky",New York,92nd Congress (1971-1973),Democrat
"MOSS, John Emerson",California,92nd Congress (1971-1973),Democrat
"BEGICH, Nicholas Joseph",Alaska,92nd Congress (1971-1973),Democrat
"STOKES, Louis",Ohio,92nd Congress (1971-1973),Democrat
"METCALFE, Ralph Harold",Illinois,92nd Congress (1971-1973),Democrat
"ROSENTHAL, Benjamin Stanley",New York,92nd Congress (1971-1973),Democrat
"DOW, John Goodchild",New York,92nd Congress (1971-1973),Democrat
"ECKHARDT, Robert Christian",Texas,92nd Congress (1971-1973),Democrat
"DIGGS, Charles Coles, Jr.",Michigan,92nd Congress (1971-1973),Democrat
"GONZÁLEZ, Henry B.",Texas,92nd Congress (1971-1973),Democrat
"NIX, Robert Nelson Cornelius, Sr.",Pennsylvania,92nd Congress (1971-1973),Democrat
"CORMAN, James Charles",California,92nd Congress (1971-1973),Democrat
"MITCHELL, Parren James",Maryland,92nd Congress (1971-1973),Democrat
"DENHOLM, Frank Edward",South Dakota,92nd Congress (1971-1973),Democrat
"HAWKINS, Augustus Freeman (Gus)",California,92nd Congress (1971-1973),Democrat
"FORD, William David",Michigan,92nd Congress (1971-1973),Democrat
"KASTENMEIER, Robert William",Wisconsin,92nd Congress (1971-1973),Democrat
"RANGEL, Charles B.",New York,92nd Congress (1971-1973),Democrat
"MINK, Patsy Takemoto",Hawaii,92nd Congress (1971-1973),Democrat
"THOMPSON, Frank, Jr.",New Jersey,92nd Congress (1971-1973),Democrat
"BINGHAM, Jonathan Brewster",New York,92nd Congress (1971-1973),Democrat
"WALDIE, Jerome Russell",California,92nd Congress (1971-1973),Democrat
"BOLLING, Richard Walker",Missouri,92nd Congress (1971-1973),Democrat
"SEIBERLING, John Frederick",Ohio,92nd Congress (1971-1973),Democrat
"YATES, Sidney Richard",Illinois,92nd Congress (1971-1973),Democrat
"CLAY, William Lacy, Sr.",Missouri,92nd Congress (1971-1973),Democrat
"HELSTOSKI, Henry",New Jersey,92nd Congress (1971-1973),Democrat
"REES, Thomas Mankell",California,92nd Congress (1971-1973),Democrat
"REUSS, Henry Schoellkopf",Wisconsin,92nd Congress (1971-1973),Democrat
"BLATNIK, John Anton",Minnesota,92nd Congress (1971-1973),Democrat
"CARNEY, Charles Joseph",Ohio,92nd Congress (1971-1973),Democrat
"SCHEUER, James Haas",New York,92nd Congress (1971-1973),Democrat
"HARRINGTON, Michael Joseph",Massachusetts,92nd Congress (1971-1973),Democrat
"DANIELSON, George Elmore",California,92nd Congress (1971-1973),Democrat
"BURLISON, Bill D.",Missouri,92nd Congress (1971-1973),Democrat
"BARRETT, William Aloysius",Pennsylvania,92nd Congress (1971-1973),Democrat
"FRASER, Donald MacKay",Minnesota,92nd Congress (1971-1973),Democrat
"PODELL, Bertram L.",New York,92nd Congress (1971-1973),Democrat
"LEGGETT, Robert Louis",California,92nd Congress (1971-1973),Democrat
"McFALL, John Joseph",California,92nd Congress (1971-1973),Democrat
"HOLIFIELD, Chester Earl",California,92nd Congress (1971-1973),Democrat
"HATHAWAY, William Dodd",Maine,92nd Congress (1971-1973),Democrat
"KOCH, Edward Irving",New York,92nd Congress (1971-1973),Democrat
"BRADEMAS, John",Indiana,92nd Congress (1971-1973),Democrat
"RONCALIO, Teno",Wyoming,92nd Congress (1971-1973),Democrat
"CELLER, Emanuel",New York,92nd Congress (1971-1973),Democrat
"MEEDS, Edwin Lloyd",Washington,92nd Congress (1971-1973),Democrat
"OBEY, David Ross",Wisconsin,92nd Congress (1971-1973),Democrat
"O'HARA, James Grant",Michigan,92nd Congress (1971-1973),Democrat
"DINGELL, John David, Jr.",Michigan,92nd Congress (1971-1973),Democrat
"EILBERG, Joshua",Pennsylvania,92nd Congress (1971-1973),Democrat
"MIKVA, Abner Joseph",Illinois,92nd Congress (1971-1973),Democrat
"GALLAGHER, Cornelius Edward",New Jersey,92nd Congress (1971-1973),Democrat
"JOHNSON, Harold Terry",California,92nd Congress (1971-1973),Democrat
"BYRNE, James Aloysius",Pennsylvania,92nd Congress (1971-1973),Democrat
"SARBANES, Paul Spyros",Maryland,92nd Congress (1971-1973),Democrat
"RODINO, Peter Wallace, Jr.",New Jersey,92nd Congress (1971-1973),Democrat
"HOWARD, James John",New Jersey,92nd Congress (1971-1973),Democrat
"PRICE, Charles Melvin",Illinois,92nd Congress (1971-1973),Democrat
"NEDZI, Lucien Norbert",Michigan,92nd Congress (1971-1973),Democrat
"MILLER, George Paul",California,92nd Congress (1971-1973),Democrat
"PATTEN, Edward James",New Jersey,92nd Congress (1971-1973),Democrat
"BRASCO, Frank James",New York,92nd Congress (1971-1973),Democrat
"MADDEN, Ray John",Indiana,92nd Congress (1971-1973),Democrat
"DRINAN, Robert Frederick",Massachusetts,92nd Congress (1971-1973),Democrat
"PEPPER, Claude Denson",Florida,92nd Congress (1971-1973),Democrat
"LINK, Arthur Albert",North Dakota,92nd Congress (1971-1973),Democrat
"MOORHEAD, William Singer",Pennsylvania,92nd Congress (1971-1973),Democrat
"GREEN, William Joseph",Pennsylvania,92nd Congress (1971-1973),Democrat
"HICKS, Floyd Verne",Washington,92nd Congress (1971-1973),Democrat
"ALEXANDER, William Vollie (Bill), Jr.",Arkansas,92nd Congress (1971-1973),Democrat
"CULVER, John Chester",Iowa,92nd Congress (1971-1973),Democrat
"BROOKS, Jack Bascom",Texas,92nd Congress (1971-1973),Democrat
"MURPHY, John Michael",New York,92nd Congress (1971-1973),Democrat
"ADDABBO, Joseph Patrick",New York,92nd Congress (1971-1973),Democrat
"O'NEILL, Thomas Philip, Jr. (Tip)",Massachusetts,92nd Congress (1971-1973),Democrat
"VAN DEERLIN, Lionel",California,92nd Congress (1971-1973),Democrat
"BURKE, James Anthony",Massachusetts,92nd Congress (1971-1973),Democrat
"FASCELL, Dante Bruno",Florida,92nd Congress (1971-1973),Democrat
"MURPHY, Morgan Francis",Illinois,92nd Congress (1971-1973),Democrat
"ANNUNZIO, Frank",Illinois,92nd Congress (1971-1973),Democrat
"PATMAN, John William Wright",Texas,92nd Congress (1971-1973),Democrat
"ADAMS, Brockman (Brock)",Washington,92nd Congress (1971-1973),Democrat
"MORGAN, Thomas Ellsworth",Pennsylvania,92nd Congress (1971-1973),Democrat
"TIERNAN, Robert Owens",Rhode Island,92nd Congress (1971-1973),Democrat
"HANSEN, Julia Butler",Washington,92nd Congress (1971-1973),Democrat
"ALBERT, Carl Bert",Oklahoma,92nd Congress (1971-1973),Democrat
"ROSTENKOWSKI, Daniel David",Illinois,92nd Congress (1971-1973),Democrat
"WILSON, Charles Herbert",California,92nd Congress (1971-1973),Democrat
"SISK, Bernice Frederic",California,92nd Congress (1971-1973),Democrat
"UDALL, Morris King",Arizona,92nd Congress (1971-1973),Democrat
"SULLIVAN, Leonor Kretzer",Missouri,92nd Congress (1971-1973),Democrat
"KARTH, Joseph Edward",Minnesota,92nd Congress (1971-1973),Democrat
"DANIELS, Dominick Vincent",New Jersey,92nd Congress (1971-1973),Democrat
"ROONEY, John James",New York,92nd Congress (1971-1973),Democrat
"DENT, John Herman",Pennsylvania,92nd Congress (1971-1973),Democrat
"WRIGHT, James Claude, Jr.",Texas,92nd Congress (1971-1973),Democrat
"KLUCZYNSKI, John Carl",Illinois,92nd Congress (1971-1973),Democrat
"BERGLAND, Robert Selmer",Minnesota,92nd Congress (1971-1973),Democrat
"MATSUNAGA, Spark Masayuki",Hawaii,92nd Congress (1971-1973),Democrat
"FLOOD, Daniel John",Pennsylvania,92nd Congress (1971-1973),Democrat
"ULLMAN, Albert Conrad",Oregon,92nd Congress (1971-1973),Democrat
"VANIK, Charles Albert",Ohio,92nd Congress (1971-1973),Democrat
"KEE, James",West Virginia,92nd Congress (1971-1973),Democrat
"GRAY, Kenneth James",Illinois,92nd Congress (1971-1973),Democrat
"KYROS, Peter Nicholas",Maine,92nd Congress (1971-1973),Democrat
"JONES, Robert Emmett, Jr.",Alabama,92nd Congress (1971-1973),Democrat
"ANDERSON, William Robert",Tennessee,92nd Congress (1971-1973),Democrat
"ST. GERMAIN, Fernand Joseph",Rhode Island,92nd Congress (1971-1973),Democrat
"ZABLOCKI, Clement John",Wisconsin,92nd Congress (1971-1973),Democrat
"FOLEY, Thomas Stephen",Washington,92nd Congress (1971-1973),Democrat
"CAREY, Hugh Leo",New York,92nd Congress (1971-1973),Democrat
"ASHLEY, Thomas William Ludlow",Ohio,92nd Congress (1971-1973),Democrat
"ROONEY, Frederick Bernard",Pennsylvania,92nd Congress (1971-1973),Democrat
"MOLLOHAN, Robert Homer",West Virginia,92nd Congress (1971-1973),Democrat
"BOGGS, Thomas Hale, Sr.",Louisiana,92nd Congress (1971-1973),Democrat
"McCORMACK, Mike",Washington,92nd Congress (1971-1973),Democrat
"HANNA, Richard Thomas",California,92nd Congress (1971-1973),Democrat
"STAGGERS, Harley Orrin",West Virginia,92nd Congress (1971-1973),Democrat
"GRIFFITHS, Martha Wright",Michigan,92nd Congress (1971-1973),Democrat
"EVINS, Joseph Landon",Tennessee,92nd Congress (1971-1973),Democrat
"PERKINS, Carl Dewey",Kentucky,92nd Congress (1971-1973),Democrat
"YOUNG, John Andrew",Texas,92nd Congress (1971-1973),Democrat
"EDMONDSON, Edmond Augustus",Oklahoma,92nd Congress (1971-1973),Democrat
"BIAGGI, Mario",New York,92nd Congress (1971-1973),Democrat
"FULTON, Richard Harmon",Tennessee,92nd Congress (1971-1973),Democrat
"HUNGATE, William Leonard",Missouri,92nd Congress (1971-1973),Democrat
"SYMINGTON, James Wadsworth",Missouri,92nd Congress (1971-1973),Democrat
"EVANS, Frank Edward",Colorado,92nd Congress (1971-1973),Democrat
"MELCHER, John",Montana,92nd Congress (1971-1973),Democrat
"ROE, Robert A.",New Jersey,92nd Congress (1971-1973),Democrat
"PRYOR, David Hampton",Arkansas,92nd Congress (1971-1973),Democrat
"ASPIN, Leslie",Wisconsin,92nd Congress (1971-1973),Democrat
"GIAIMO, Robert Nicholas",Connecticut,92nd Congress (1971-1973),Democrat
"ASPINALL, Wayne Norviel",Colorado,92nd Congress (1971-1973),Democrat
"COTTER, William Ross",Connecticut,92nd Congress (1971-1973),Democrat
"SMITH, Neal Edward",Iowa,92nd Congress (1971-1973),Democrat
"HICKS, Louise Day",Massachusetts,92nd Congress (1971-1973),Democrat
"VIGORITO, Joseph Phillip",Pennsylvania,92nd Congress (1971-1973),Democrat
"HECHLER, Kenneth William",West Virginia,92nd Congress (1971-1973),Democrat
"MACDONALD, Torbert Hart",Massachusetts,92nd Congress (1971-1973),Democrat
"GARMATZ, Edward Alexander",Maryland,92nd Congress (1971-1973),Democrat
"BOLAND, Edward Patrick",Massachusetts,92nd Congress (1971-1973),Democrat
"HANLEY, James Michael",New York,92nd Congress (1971-1973),Democrat
"STANTON, James Vincent",Ohio,92nd Congress (1971-1973),Democrat
"HAYS, Wayne Levere",Ohio,92nd Congress (1971-1973),Democrat
"DELANEY, James Joseph",New York,92nd Congress (1971-1973),Democrat
"MINISH, Joseph George",New Jersey,92nd Congress (1971-1973),Democrat
"DONOHUE, Harold Daniel",Massachusetts,92nd Congress (1971-1973),Democrat
"CLARK, Frank Monroe",Pennsylvania,92nd Congress (1971-1973),Democrat
"GRASSO, Ella Tambussi",Connecticut,92nd Congress (1971-1973),Democrat
"NATCHER, William Huston",Kentucky,92nd Congress (1971-1973),Democrat
"SHIPLEY, George Edward",Illinois,92nd Congress (1971-1973),Democrat
"SLACK, John Mark, Jr.",West Virginia,92nd Congress (1971-1973),Democrat
"PUCINSKI, Roman Conrad",Illinois,92nd Congress (1971-1973),Democrat
"STEED, Thomas Jefferson",Oklahoma,92nd Congress (1971-1973),Democrat
"BLANTON, Leonard Ray",Tennessee,92nd Congress (1971-1973),Democrat
"GAYDOS, Joseph Matthew",Pennsylvania,92nd Congress (1971-1973),Democrat
"LONG, Clarence Dickinson",Maryland,92nd Congress (1971-1973),Democrat
"PREYER, Lunsford Richardson",North Carolina,92nd Congress (1971-1973),Democrat
"ANDERSON, Glenn Malcolm",California,92nd Congress (1971-1973),Democrat
"WOLFF, Lester Lionel",New York,92nd Congress (1971-1973),Democrat
"JONES, Walter Beaman, Sr.",North Carolina,92nd Congress (1971-1973),Democrat
"PURCELL, Graham Boynton, Jr.",Texas,92nd Congress (1971-1973),Democrat
"de la GARZA, Eligio, II (Kika)",Texas,92nd Congress (1971-1973),Democrat
"McKAY, Koln Gunn",Utah,92nd Congress (1971-1973),Democrat
"DULSKI, Thaddeus Joseph",New York,92nd Congress (1971-1973),Democrat
"ROY, William Robert",Kansas,92nd Congress (1971-1973),Democrat
"STUBBLEFIELD, Frank Albert",Kentucky,92nd Congress (1971-1973),Democrat
"DAVIS, Mendel Jackson",South Carolina,92nd Congress (1971-1973),Democrat
"JONES, Ed",Tennessee,92nd Congress (1971-1973),Democrat
"GREEN, Edith Starrett",Oregon,92nd Congress (1971-1973),Democrat
"MILLS, Wilbur Daigh",Arkansas,92nd Congress (1971-1973),Democrat
"ROUSH, John Edward",Indiana,92nd Congress (1971-1973),Democrat
"GIBBONS, Sam Melville",Florida,92nd Congress (1971-1973),Democrat
"CURLIN, William Prather, Jr.",Kentucky,92nd Congress (1971-1973),Democrat
"EDWARDS, Edwin Washington",Louisiana,92nd Congress (1971-1973),Democrat
"MONAGAN, John Stephen",Connecticut,92nd Congress (1971-1973),Democrat
"KAZEN, Abraham, Jr.",Texas,92nd Congress (1971-1973),Democrat
"PICKLE, James Jarrell (Jake)",Texas,92nd Congress (1971-1973),Democrat
"BEVILL, Tom",Alabama,92nd Congress (1971-1973),Democrat
"WATTS, John Clarence",Kentucky,92nd Congress (1971-1973),Democrat
"CABELL, Earle",Texas,92nd Congress (1971-1973),Democrat
"DAVIS, John William",Georgia,92nd Congress (1971-1973),Democrat
"STEPHENS, Robert Grier, Jr.",Georgia,92nd Congress (1971-1973),Democrat
"MAZZOLI, Romano Louis",Kentucky,92nd Congress (1971-1973),Democrat
"RANDALL, William Joseph",Missouri,92nd Congress (1971-1973),Democrat
"YATRON, Gus",Pennsylvania,92nd Congress (1971-1973),Democrat
"FUQUA, Don",Florida,92nd Congress (1971-1973),Democrat
"HAMILTON, Lee Herbert",Indiana,92nd Congress (1971-1973),Democrat
"MAHON, George Herman",Texas,92nd Congress (1971-1973),Democrat
"PIKE, Otis Grey",New York,92nd Congress (1971-1973),Democrat
"WHITTEN, Jamie Lloyd",Mississippi,92nd Congress (1971-1973),Democrat
"GALIFIANAKIS, Nick",North Carolina,92nd Congress (1971-1973),Democrat
"FLOWERS, Walter",Alabama,92nd Congress (1971-1973),Democrat
"WHALEN, Charles William, Jr.",Ohio,92nd Congress (1971-1973),Republican
"STRATTON, Samuel Studdiford",New York,92nd Congress (1971-1973),Democrat
"WHITE, Richard Crawford",Texas,92nd Congress (1971-1973),Democrat
"LANDRUM, Phillip Mitchell",Georgia,92nd Congress (1971-1973),Democrat
"CAFFERY, Patrick Thomson",Louisiana,92nd Congress (1971-1973),Democrat
"ROBERTS, Herbert Ray",Texas,92nd Congress (1971-1973),Democrat
"SIKES, Robert Lee Fulton",Florida,92nd Congress (1971-1973),Democrat
"BREAUX, John Berlinger",Louisiana,92nd Congress (1971-1973),Democrat
"GETTYS, Thomas Smithwick",South Carolina,92nd Congress (1971-1973),Democrat
"STUCKEY, Williamson Sylvester, Jr.",Georgia,92nd Congress (1971-1973),Democrat
"HULL, William Raleigh, Jr.",Missouri,92nd Congress (1971-1973),Democrat
"HENDERSON, David Newton",North Carolina,92nd Congress (1971-1973),Democrat
"TEAGUE, Olin Earl",Texas,92nd Congress (1971-1973),Democrat
"CHAPPELL, William Venroe, Jr.",Florida,92nd Congress (1971-1973),Democrat
"CASEY, Robert Randolph",Texas,92nd Congress (1971-1973),Democrat
"HALPERN, Seymour",New York,92nd Congress (1971-1973),Republican
"RIVERS, Lucius Mendel",South Carolina,92nd Congress (1971-1973),Democrat
"BENNETT, Charles Edward",Florida,92nd Congress (1971-1973),Democrat
"ROGERS, Paul Grant",Florida,92nd Congress (1971-1973),Democrat
"POAGE, William Robert",Texas,92nd Congress (1971-1973),Democrat
"HÉBERT, Felix Edward",Louisiana,92nd Congress (1971-1973),Democrat
"HAGAN, George Elliott",Georgia,92nd Congress (1971-1973),Democrat
"RIEGLE, Donald Wayne, Jr.",Michigan,92nd Congress (1971-1973),Republican
"BRINKLEY, Jack Thomas",Georgia,92nd Congress (1971-1973),Democrat
"JACOBS, Andrew, Jr.",Indiana,92nd Congress (1971-1973),Democrat
"TAYLOR, Roy Arthur",North Carolina,92nd Congress (1971-1973),Democrat
"REID, Ogden Rogers",New York,92nd Congress (1971-1973),Republican
"GRIFFIN, Charles Hudson",Mississippi,92nd Congress (1971-1973),Democrat
"DOWNING, Thomas Nelms",Virginia,92nd Congress (1971-1973),Democrat
"BARING, Walter Stephan, Jr.",Nevada,92nd Congress (1971-1973),Democrat
"PASSMAN, Otto Ernest",Louisiana,92nd Congress (1971-1973),Democrat
"PEYSER, Peter A.",New York,92nd Congress (1971-1973),Republican
"McMILLAN, John Lanneau",South Carolina,92nd Congress (1971-1973),Democrat
"ANDREWS, Elizabeth Bullock",Alabama,92nd Congress (1971-1973),Democrat
"NICHOLS, William Flynt",Alabama,92nd Congress (1971-1973),Democrat
"FOUNTAIN, Lawrence H.",North Carolina,92nd Congress (1971-1973),Democrat
"MATHIS, Marvin Dawson",Georgia,92nd Congress (1971-1973),Democrat
"MANN, James Robert",South Carolina,92nd Congress (1971-1973),Democrat
"ANDREWS, George William",Alabama,92nd Congress (1971-1973),Democrat
"GUDE, Gilbert",Maryland,92nd Congress (1971-1973),Republican
"LONG, Speedy Oteria",Louisiana,92nd Congress (1971-1973),Democrat
"CONTE, Silvio Ottavio",Massachusetts,92nd Congress (1971-1973),Republican
"DORN, William Jennings Bryan",South Carolina,92nd Congress (1971-1973),Democrat
"JARMAN, John",Oklahoma,92nd Congress (1971-1973),Democrat
"BYRON, Goodloe Edgar",Maryland,92nd Congress (1971-1973),Democrat
"STEELE, Robert Hampton",Connecticut,92nd Congress (1971-1973),Republican
"HECKLER, Margaret M.",Massachusetts,92nd Congress (1971-1973),Republican
"McKINNEY, Stewart Brett",Connecticut,92nd Congress (1971-1973),Republican
"HORTON, Frank Jefferson",New York,92nd Congress (1971-1973),Republican
"FLYNT, John James, Jr.",Georgia,92nd Congress (1971-1973),Democrat
"ICHORD, Richard Howard, II",Missouri,92nd Congress (1971-1973),Democrat
"BURLESON, Omar Truman",Texas,92nd Congress (1971-1973),Democrat
"FULTON, James Grove",Pennsylvania,92nd Congress (1971-1973),Republican
"WAGGONNER, Joseph David, Jr.",Louisiana,92nd Congress (1971-1973),Democrat
"MONTGOMERY, Gillespie V. (Sonny)",Mississippi,92nd Congress (1971-1973),Democrat
"McCLOSKEY, Paul Norton , Jr. (Pete)",California,92nd Congress (1971-1973),Republican
"BIESTER, Edward George, Jr.",Pennsylvania,92nd Congress (1971-1973),Republican
"FISHER, Ovie Clark",Texas,92nd Congress (1971-1973),Democrat
"MORSE, Frank Bradford",Massachusetts,92nd Congress (1971-1973),Republican
"LENNON, Alton Asa",North Carolina,92nd Congress (1971-1973),Democrat
"ABERNETHY, Thomas Gerstle",Mississippi,92nd Congress (1971-1973),Democrat
"COLMER, William Meyers",Mississippi,92nd Congress (1971-1973),Democrat
"STAFFORD, Robert Theodore",Vermont,92nd Congress (1971-1973),Republican
"O'KONSKI, Alvin Edward",Wisconsin,92nd Congress (1971-1973),Republican
"FISH, Hamilton, Jr.",New York,92nd Congress (1971-1973),Republican
"DWYER, Florence Price",New Jersey,92nd Congress (1971-1973),Republican
"CORBETT, Robert James",Pennsylvania,92nd Congress (1971-1973),Republican
"HEINZ, Henry John, III",Pennsylvania,92nd Congress (1971-1973),Republican
"CARTER, Tim Lee",Kentucky,92nd Congress (1971-1973),Republican
"DOWDY, John Vernard",Texas,92nd Congress (1971-1973),Democrat
"ANDREWS, Mark",North Dakota,92nd Congress (1971-1973),Republican
"ABBITT, Watkins Moorman",Virginia,92nd Congress (1971-1973),Democrat
"RUNNELS, Harold Lowell",New Mexico,92nd Congress (1971-1973),Democrat
"McDADE, Joseph Michael",Pennsylvania,92nd Congress (1971-1973),Republican
"HALEY, James Andrew",Florida,92nd Congress (1971-1973),Democrat
"WYATT, Wendell",Oregon,92nd Congress (1971-1973),Republican
"RAILSBACK, Thomas Fisher",Illinois,92nd Congress (1971-1973),Republican
"MAILLIARD, William Somers",California,92nd Congress (1971-1973),Republican
"MATHIAS, Robert Bruce (Bob)",California,92nd Congress (1971-1973),Republican
"WIDNALL, William Beck",New Jersey,92nd Congress (1971-1973),Republican
"SAYLOR, John Phillips",Pennsylvania,92nd Congress (1971-1973),Republican
"ESCH, Marvin Leonel",Michigan,92nd Congress (1971-1973),Republican
"STANTON, John William",Ohio,92nd Congress (1971-1973),Republican
"SANDMAN, Charles William, Jr.",New Jersey,92nd Congress (1971-1973),Republican
"PIRNIE, Alexander",New York,92nd Congress (1971-1973),Republican
"BUCHANAN, John Hall, Jr.",Alabama,92nd Congress (1971-1973),Republican
"WAMPLER, William Creed",Virginia,92nd Congress (1971-1973),Republican
"KEITH, Hastings",Massachusetts,92nd Congress (1971-1973),Republican
"HANSEN, Orval Howard",Idaho,92nd Congress (1971-1973),Republican
"BROTZMAN, Donald Glenn",Colorado,92nd Congress (1971-1973),Republican
"McDONALD, Jack H.",Michigan,92nd Congress (1971-1973),Republican
"HOGAN, Lawrence Joseph",Maryland,92nd Congress (1971-1973),Republican
"BROYHILL, Joel Thomas",Virginia,92nd Congress (1971-1973),Republican
"CLAUSEN, Donald Holst",California,92nd Congress (1971-1973),Republican
"DANIEL, Wilbur Clarence (Dan)",Virginia,92nd Congress (1971-1973),Democrat
"du PONT, Pierre Samuel, IV",Delaware,92nd Congress (1971-1973),Republican
"RUPPE, Philip Edward",Michigan,92nd Congress (1971-1973),Republican
"FRELINGHUYSEN, Peter Hood Ballantine, Jr.",New Jersey,92nd Congress (1971-1973),Republican
"SCHWENGEL, Frederick Delbert",Iowa,92nd Congress (1971-1973),Republican
"HILLIS, Elwood Haynes",Indiana,92nd Congress (1971-1973),Republican
"PETTIS, Jerry Lyle",California,92nd Congress (1971-1973),Republican
"SHRIVER, Garner E.",Kansas,92nd Congress (1971-1973),Republican
"EDWARDS, William Jackson (Jack)",Alabama,92nd Congress (1971-1973),Republican
"MOSHER, Charles Adams",Ohio,92nd Congress (1971-1973),Republican
"ZWACH, John Matthew",Minnesota,92nd Congress (1971-1973),Republican
"LENT, Norman Frederick",New York,92nd Congress (1971-1973),Republican
"ANDERSON, John Bayard",Illinois,92nd Congress (1971-1973),Republican
"BELL, Alphonzo",California,92nd Congress (1971-1973),Republican
"SPRINGER, William Lee",Illinois,92nd Congress (1971-1973),Republican
"SHOUP, Richard Gardner (Dick)",Montana,92nd Congress (1971-1973),Republican
"PELLY, Thomas Minor",Washington,92nd Congress (1971-1973),Republican
"HARSHA, William Howard",Ohio,92nd Congress (1971-1973),Republican
"QUIE, Albert Harold",Minnesota,92nd Congress (1971-1973),Republican
"THOMPSON, Standish Fletcher",Georgia,92nd Congress (1971-1973),Republican
"SKUBITZ, Joe",Kansas,92nd Congress (1971-1973),Republican
"WHALLEY, John Irving",Pennsylvania,92nd Congress (1971-1973),Republican
"THONE, Charles",Nebraska,92nd Congress (1971-1973),Republican
"DUNCAN, John James",Tennessee,92nd Congress (1971-1973),Republican
"WILLIAMS, Lawrence Gordon",Pennsylvania,92nd Congress (1971-1973),Republican
"JOHNSON, Albert Walter",Pennsylvania,92nd Congress (1971-1973),Republican
"HARVEY, James",Michigan,92nd Congress (1971-1973),Republican
"COUGHLIN, Robert Lawrence",Pennsylvania,92nd Congress (1971-1973),Republican
"GUBSER, Charles Samuel",California,92nd Congress (1971-1973),Republican
"MILLS, William Oswald",Maryland,92nd Congress (1971-1973),Republican
"MORTON, Rogers Clark Ballard",Maryland,92nd Congress (1971-1973),Republican
"CLEVELAND, James Colgate",New Hampshire,92nd Congress (1971-1973),Republican
"McKEVITT, James Douglas (Mike)",Colorado,92nd Congress (1971-1973),Republican
"RHODES, John Jacob",Arizona,92nd Congress (1971-1973),Republican
"BROOMFIELD, William S.",Michigan,92nd Congress (1971-1973),Republican
"LLOYD, Sherman Parkinson",Utah,92nd Congress (1971-1973),Republican
"WYLIE, Chalmers Pangburn",Ohio,92nd Congress (1971-1973),Republican
"SMITH, Henry P., III",New York,92nd Congress (1971-1973),Republican
"WHITEHURST, George William",Virginia,92nd Congress (1971-1973),Republican
"THOMSON, Vernon Wallace",Wisconsin,92nd Congress (1971-1973),Republican
"McEWEN, Robert Cameron",New York,92nd Congress (1971-1973),Republican
"HASTINGS, James Fred",New York,92nd Congress (1971-1973),Republican
"BRAY, William Gilmer",Indiana,92nd Congress (1971-1973),Republican
"WYMAN, Louis Crosby",New Hampshire,92nd Congress (1971-1973),Republican
"MYERS, John Thomas",Indiana,92nd Congress (1971-1973),Republican
"VEYSEY, Victor Vincent",California,92nd Congress (1971-1973),Republican
"BURKE, J. Herbert",Florida,92nd Congress (1971-1973),Republican
"TEAGUE, Charles McKevett",California,92nd Congress (1971-1973),Republican
"FREY, Louis, Jr.",Florida,92nd Congress (1971-1973),Republican
"MIZELL, Wilmer David (Vinegar Bend)",North Carolina,92nd Congress (1971-1973),Republican
"QUILLEN, James Henry",Tennessee,92nd Congress (1971-1973),Republican
"KUYKENDALL, Dan Heflin",Tennessee,92nd Congress (1971-1973),Republican
"FINDLEY, Paul",Illinois,92nd Congress (1971-1973),Republican
"WINN, Edward Lawrence, Jr. (Larry)",Kansas,92nd Congress (1971-1973),Republican
"CHAMBERLAIN, Charles Ernest",Michigan,92nd Congress (1971-1973),Republican
"VANDER JAGT, Guy Adrian",Michigan,92nd Congress (1971-1973),Republican
"GROVER, James Russell, Jr.",New York,92nd Congress (1971-1973),Republican
"TALCOTT, Burt Lacklen",California,92nd Congress (1971-1973),Republican
"HAMMERSCHMIDT, John Paul",Arkansas,92nd Congress (1971-1973),Republican
"McCLORY, Robert",Illinois,92nd Congress (1971-1973),Republican
"KEATING, William John",Ohio,92nd Congress (1971-1973),Republican
"SNYDER, Marion Gene",Kentucky,92nd Congress (1971-1973),Republican
"ROBISON, Howard Winfield",New York,92nd Congress (1971-1973),Republican
"WILSON, Robert Carlton (Bob)",California,92nd Congress (1971-1973),Republican
